"source_merchant_id","source_business_id","merchant_name","mcc","declared_expected_volume_band","declared_expected_ticket_band","onboarded_date","status","settlement_source_account_id","operating_hours_declared","outlet_count"
"MER-00001","BUS-00002","Makmur Digital - Fast Food","5814","GT_1B","LT_50K","2023-01-29","ACTIVE","ACC-0000612","09:00-21:00","6"
"MER-00002","BUS-00009","Sinar Utama - Travel Agencies","4722","250M_1B","GT_1M","2024-02-07","ACTIVE","ACC-0000623","09:00-21:00","9"
"MER-00003","BUS-00048","Harapan Nusantara - Motion Picture Theatres","7832","50M_250M","50K_250K","2023-05-06","ACTIVE","ACC-0000671","00:00-23:59","2"
"MER-00004","BUS-00016","Makmur Logistik - Eating Places","5812","GT_1B","50K_250K","2023-06-15","ACTIVE","ACC-0000633","08:00-17:00","8"
"MER-00005","BUS-00004","Makmur Logistik - Electronics Stores","5732","LT_50M","GT_1M","2023-10-04","CLOSED","ACC-0000615","09:00-21:00","4"
"MER-00006","BUS-00025","Berkah Perkasa - Computers and Peripherals","5045","250M_1B","GT_1M","2024-01-16","ACTIVE","ACC-0000644","00:00-23:59","9"
"MER-00007","BUS-00011","Cemerlang Bersama - Taxicabs and Limousines","4121","LT_50M","LT_50K","2025-02-06","ACTIVE","ACC-0000626","08:00-17:00","8"
"MER-00008","BUS-00051","Mandiri Niaga - Service Stations","5541","250M_1B","50K_250K","2025-07-12","ACTIVE","ACC-0000674","10:00-22:00","10"
"MER-00009","BUS-00010","Mandiri Perkasa - Eating Places","5812","LT_50M","50K_250K","2025-12-09","ACTIVE","ACC-0000624","10:00-22:00","10"
"MER-00010","BUS-00014","Cemerlang Niaga - Lodging","7011","LT_50M","250K_1M","2025-04-30","ACTIVE","ACC-0000631","08:00-17:00","11"
"MER-00011","BUS-00056","Cemerlang Bersama - Computer Network Services","4816","GT_1B","50K_250K","2023-10-16","ACTIVE","ACC-0000679","09:00-21:00","11"
"MER-00012","BUS-00041","Lestari Nusantara - Motion Picture Theatres","7832","50M_250M","50K_250K","2023-06-28","ACTIVE","ACC-0000663","09:00-21:00","6"
"MER-00013","BUS-00050","Jaya Utama - Family Clothing","5651","250M_1B","50K_250K","2023-05-04","ACTIVE","ACC-0000673","00:00-23:59","11"
"MER-00014","BUS-00025","Berkah Perkasa - Cosmetic Stores","5977","50M_250M","50K_250K","2024-10-05","ACTIVE","ACC-0000644","00:00-23:59","9"
"MER-00015","BUS-00035","Harapan Perkasa - Grocery Stores","5411","LT_50M","50K_250K","2024-04-25","ACTIVE","ACC-0000657","10:00-22:00","11"
"MER-00016","BUS-00023","Abadi Niaga - Grocery Stores","5411","LT_50M","50K_250K","2024-04-08","ACTIVE","ACC-0000641","10:00-22:00","10"
"MER-00017","BUS-00049","Jaya Bersama - Fast Food","5814","250M_1B","LT_50K","2023-03-21","ACTIVE","ACC-0000672","08:00-17:00","8"
"MER-00018","BUS-00055","Harapan Nusantara - Misc Retail","5999","LT_50M","50K_250K","2023-12-08","ACTIVE","ACC-0000678","00:00-23:59","9"
"MER-00019","BUS-00031","Makmur Niaga - Hospitals","8062","GT_1B","250K_1M","2023-09-12","ACTIVE","ACC-0000652","09:00-21:00","2"
"MER-00020","BUS-00045","Maju Perkasa - Grocery Stores","5411","250M_1B","50K_250K","2024-05-05","ACTIVE","ACC-0000667","10:00-22:00","2"
"MER-00021","BUS-00051","Mandiri Niaga - Cosmetic Stores","5977","50M_250M","50K_250K","2023-07-28","ACTIVE","ACC-0000674","08:00-17:00","10"
"MER-00022","BUS-00038","Sinar Utama - Motion Picture Theatres","7832","LT_50M","50K_250K","2024-07-28","ACTIVE","ACC-0000660","09:00-21:00","2"
"MER-00023","BUS-00017","Sejahtera Perkasa - Precious Stones and Metals","5094","GT_1B","GT_1M","2026-01-28","ACTIVE","ACC-0000634","00:00-23:59","11"
"MER-00024","BUS-00038","Sinar Utama - Taxicabs and Limousines","4121","LT_50M","LT_50K","2024-06-13","ACTIVE","ACC-0000660","10:00-22:00","3"
"MER-00025","BUS-00039","Mandiri Niaga - Eating Places","5812","250M_1B","50K_250K","2024-06-07","ACTIVE","ACC-0000661","10:00-22:00","1"
"MER-00026","BUS-00017","Sejahtera Perkasa - Lodging","7011","250M_1B","250K_1M","2025-11-06","ACTIVE","ACC-0000634","10:00-22:00","2"
"MER-00027","BUS-00013","Cemerlang Perkasa - Quasi Cash","6051","GT_1B","GT_1M","2025-12-20","ACTIVE","ACC-0000629","08:00-17:00","7"
"MER-00028","BUS-00036","Sinar Utama - Eating Places","5812","LT_50M","50K_250K","2025-02-12","ACTIVE","ACC-0000658","00:00-23:59","2"
"MER-00029","BUS-00039","Mandiri Niaga - Quasi Cash","6051","50M_250M","GT_1M","2024-05-26","ACTIVE","ACC-0000661","00:00-23:59","1"
"MER-00030","BUS-00001","Lestari Digital - Taxicabs and Limousines","4121","250M_1B","LT_50K","2025-08-23","ACTIVE","ACC-0000611","00:00-23:59","3"
"MER-00031","BUS-00016","Makmur Logistik - Quasi Cash","6051","LT_50M","GT_1M","2025-07-19","ACTIVE","ACC-0000633","10:00-22:00","10"
"MER-00032","BUS-00047","Jaya Niaga - Fast Food","5814","LT_50M","LT_50K","2025-08-26","ACTIVE","ACC-0000670","08:00-17:00","2"
"MER-00033","BUS-00043","Maju Bersama - Quasi Cash","6051","250M_1B","GT_1M","2024-06-26","ACTIVE","ACC-0000665","00:00-23:59","11"
"MER-00034","BUS-00013","Cemerlang Perkasa - Computer Network Services","4816","GT_1B","50K_250K","2025-07-15","ACTIVE","ACC-0000629","08:00-17:00","3"
"MER-00035","BUS-00027","Harapan Utama - Precious Stones and Metals","5094","LT_50M","GT_1M","2023-10-14","ACTIVE","ACC-0000647","08:00-17:00","4"
"MER-00036","BUS-00039","Mandiri Niaga - Travel Agencies","4722","GT_1B","GT_1M","2024-01-27","ACTIVE","ACC-0000661","09:00-21:00","11"
"MER-00037","BUS-00024","Sinar Utama - Drug Stores","5912","250M_1B","50K_250K","2024-09-30","ACTIVE","ACC-0000643","00:00-23:59","3"
"MER-00038","BUS-00055","Harapan Nusantara - Second Hand Stores","5933","50M_250M","50K_250K","2024-02-11","ACTIVE","ACC-0000678","09:00-21:00","3"
"MER-00039","BUS-00051","Mandiri Niaga - Quasi Cash","6051","50M_250M","GT_1M","2023-04-16","ACTIVE","ACC-0000674","08:00-17:00","11"
"MER-00040","BUS-00005","Mandiri Logistik - Drug Stores","5912","GT_1B","50K_250K","2024-07-01","ACTIVE","ACC-0000617","00:00-23:59","5"
"MER-00041","BUS-00035","Harapan Perkasa - Computer Network Services","4816","250M_1B","50K_250K","2023-10-19","ACTIVE","ACC-0000657","00:00-23:59","4"
"MER-00042","BUS-00034","Sejahtera Digital - Computers and Peripherals","5045","LT_50M","GT_1M","2025-01-20","ACTIVE","ACC-0000656","10:00-22:00","11"
"MER-00043","BUS-00010","Mandiri Perkasa - Beauty Shops","7230","GT_1B","50K_250K","2024-07-01","ACTIVE","ACC-0000624","00:00-23:59","11"
