"source_business_id","legal_name","trading_names","registration_number","registration_country","incorporation_date","industry_code","declared_turnover_band","address_line","city","province","postcode","country","contact_phone","contact_email","status"
"BUS-00001","PT Lestari Bersama","Lestari Bersama","9980150287434","ID","2018-07-07","75166","2_5B_50B","Jl. Mawar No. 16","Balikpapan","Kalimantan Timur","76111","ID","+628991846942","bus-00001@contoh.id","ACTIVE"
"BUS-00002","PT Makmur Nusantara","Makmur Nusantara","9926787804481","ID","2024-10-30","53467","300M_2_5B","Jl. Teratai No. 92","Surabaya","Jawa Timur","60111","ID","+628995958240","bus-00002@surelsintetis.id","SUSPENDED"
"BUS-00003","CV Harapan Nusantara","Harapan Nusantara","9917078562443","ID","2012-12-20","43727","300M_2_5B","Jl. Melati No. 207","Semarang","Jawa Tengah","50111","ID","+628992921962","bus-00003@contoh.id","SUSPENDED"
"BUS-00004","UD Mandiri Niaga","Mandiri Niaga","9918664640210","ID","2018-03-07","14095","GT_50B","Jl. Cempaka No. 99","Palembang","Sumatera Selatan","30111","ID","+628997253579","bus-00004@demo.example","ACTIVE"
"BUS-00005","Koperasi Sentosa Perkasa","Sentosa Perkasa","9929953831915","ID","2014-04-05","60942","GT_50B","Jl. Mawar No. 112","Semarang","Jawa Tengah","50111","ID","+628992373608","bus-00005@mailuji.example","CLOSED"
"BUS-00006","Koperasi Cemerlang Nusantara","Cemerlang Nusantara","9915792901271","ID","2022-04-09","83082","GT_50B","Jl. Kenanga No. 187","Jakarta Pusat","DKI Jakarta","10110","ID","+628995991319","bus-00006@contoh.id","ACTIVE"
"BUS-00007","PT Cemerlang Perkasa","Cemerlang Perkasa","9994843004404","ID","2021-12-24","85518","2_5B_50B","Jl. Anggrek No. 16","Makassar","Sulawesi Selatan","90111","ID","+628991859251","bus-00007@surelsintetis.id","ACTIVE"
"BUS-00008","UD Lestari Nusantara","Lestari Nusantara","9996951354680","ID","2021-11-27","17151","GT_50B","Jl. Anggrek No. 108","Bandung","Jawa Barat","40111","ID","+628994978814","bus-00008@mailuji.example","ACTIVE"
"BUS-00009","CV Makmur Niaga","Makmur Niaga","9942686851609","ID","2022-03-02","85178","LT_300M","Jl. Mawar No. 151","Bandung","Jawa Barat","40111","ID","+628992443788","bus-00009@demo.example","ACTIVE"
"BUS-00010","Koperasi Harapan Digital","Harapan Digital","9962681234564","ID","2023-09-11","19372","300M_2_5B","Jl. Kenanga No. 73","Makassar","Sulawesi Selatan","90111","ID","+628999118618","bus-00010@contoh.id","ACTIVE"
"BUS-00011","CV Berkah Perkasa","Berkah Perkasa","9924292003633","ID","2020-06-20","86131","GT_50B","Jl. Cempaka No. 62","Semarang","Jawa Tengah","50111","ID","+628992719542","bus-00011@contoh.id","ACTIVE"
"BUS-00012","Koperasi Maju Bersama","Maju Bersama","9970797012659","ID","2018-05-06","17387","300M_2_5B","Jl. Mawar No. 59","Denpasar","Bali","80111","ID","+628995013316","bus-00012@demo.example","ACTIVE"
