"source_business_id","legal_name","trading_names","registration_number","registration_country","incorporation_date","industry_code","declared_turnover_band","address_line","city","province","postcode","country","contact_phone","contact_email","status"
"BUS-00001","Koperasi Lestari Digital","Lestari Digital","9926108224783","ID","2017-02-13","28220","GT_50B","Jl. Melati No. 170","Medan","Sumatera Utara","20111","ID","+628999417748","bus-00001@mailuji.example","ACTIVE"
"BUS-00002","Koperasi Makmur Digital","Makmur Digital","9980809632915","ID","2021-04-26","84764","300M_2_5B","Jl. Dahlia No. 103","Balikpapan","Kalimantan Timur","76111","ID","+628996788681","bus-00002@contoh.id","ACTIVE"
"BUS-00003","Koperasi Sinar Niaga","Sinar Niaga","9965427612175","ID","2017-06-19","16187","2_5B_50B","Jl. Teratai No. 226","Balikpapan","Kalimantan Timur","76111","ID","+628993970054","bus-00003@demo.example","ACTIVE"
"BUS-00004","PT Makmur Logistik","Makmur Logistik","9988914127505","ID","2017-09-02","96951","2_5B_50B","Jl. Cempaka No. 203","Medan","Sumatera Utara","20111","ID","+628991809562","bus-00004@surelsintetis.id","ACTIVE"
"BUS-00005","Koperasi Mandiri Logistik","Mandiri Logistik","9974210843701","ID","2025-06-29","60875","GT_50B","Jl. Bougenville No. 209","Surabaya","Jawa Timur","60111","ID","+628994661742","bus-00005@mailuji.example","ACTIVE"
"BUS-00006","PT Berkah Nusantara","Berkah Nusantara","9958885398750","ID","2024-03-05","91654","LT_300M","Jl. Melati No. 104","Denpasar","Bali","80111","ID","+628992356740","bus-00006@mailuji.example","ACTIVE"
"BUS-00007","UD Harapan Logistik","Harapan Logistik","9939823867954","ID","2024-06-07","26977","2_5B_50B","Jl. Mawar No. 10","Denpasar","Bali","80111","ID","+628992398302","bus-00007@contoh.id","ACTIVE"
"BUS-00008","UD Maju Niaga","Maju Niaga","9937069894830","ID","2018-09-10","37328","LT_300M","Jl. Kenanga No. 7","Balikpapan","Kalimantan Timur","76111","ID","+628991526959","bus-00008@surelsintetis.id","ACTIVE"
"BUS-00009","Koperasi Sinar Utama","Sinar Utama","9956830482259","ID","2019-11-20","91405","GT_50B","Jl. Melati No. 200","Bandung","Jawa Barat","40111","ID","+628996679318","bus-00009@mailuji.example","ACTIVE"
"BUS-00010","UD Mandiri Perkasa","Mandiri Perkasa","9962928672341","ID","2025-06-29","10790","GT_50B","Jl. Flamboyan No. 200","Denpasar","Bali","80111","ID","+628994703940","bus-00010@demo.example","ACTIVE"
"BUS-00011","Koperasi Cemerlang Bersama","Cemerlang Bersama","9933609942504","ID","2025-01-09","23635","LT_300M","Jl. Anggrek No. 103","Medan","Sumatera Utara","20111","ID","+628996789531","bus-00011@surelsintetis.id","ACTIVE"
"BUS-00012","UD Jaya Bersama","Jaya Bersama","9934567573714","ID","2014-11-22","47690","2_5B_50B","Jl. Dahlia No. 58","Jakarta Pusat","DKI Jakarta","10110","ID","+628998215119","bus-00012@demo.example","ACTIVE"
"BUS-00013","PT Cemerlang Perkasa","Cemerlang Perkasa","9926628283160","ID","2024-01-17","53561","2_5B_50B","Jl. Mawar No. 234","Yogyakarta","DI Yogyakarta","55111","ID","+628992990937","bus-00013@contoh.id","ACTIVE"
"BUS-00014","CV Cemerlang Niaga","Cemerlang Niaga","9922688754841","ID","2020-11-02","86104","300M_2_5B","Jl. Dahlia No. 239","Denpasar","Bali","80111","ID","+628998475423","bus-00014@surelsintetis.id","ACTIVE"
"BUS-00015","PT Harapan Digital","Harapan Digital","9974080143563","ID","2025-02-19","14353","LT_300M","Jl. Mawar No. 204","Denpasar","Bali","80111","ID","+628998798612","bus-00015@demo.example","ACTIVE"
"BUS-00016","Koperasi Makmur Logistik","Makmur Logistik","9997141594094","ID","2019-02-15","88213","GT_50B","Jl. Flamboyan No. 7","Yogyakarta","DI Yogyakarta","55111","ID","+628998869314","bus-00016@surelsintetis.id","ACTIVE"
"BUS-00017","UD Sejahtera Perkasa","Sejahtera Perkasa","9999792770186","ID","2016-02-08","37594","300M_2_5B","Jl. Dahlia No. 109","Bandung","Jawa Barat","40111","ID","+628994669459","bus-00017@mailuji.example","ACTIVE"
"BUS-00018","Koperasi Cemerlang Digital","Cemerlang Digital","9929501064280","ID","2023-03-17","97790","GT_50B","Jl. Flamboyan No. 228","Surabaya","Jawa Timur","60111","ID","+628992492659","bus-00018@demo.example","ACTIVE"
"BUS-00019","CV Sentosa Niaga","Sentosa Niaga","9976413507831","ID","2016-11-13","18304","300M_2_5B","Jl. Flamboyan No. 40","Medan","Sumatera Utara","20111","ID","+628997888400","bus-00019@contoh.id","ACTIVE"
"BUS-00020","Koperasi Abadi Perkasa","Abadi Perkasa","9999566737995","ID","2013-09-27","23334","LT_300M","Jl. Mawar No. 135","Medan","Sumatera Utara","20111","ID","+628992076099","bus-00020@mailuji.example","ACTIVE"
"BUS-00021","CV Sinar Niaga","Sinar Niaga","9929429944899","ID","2018-07-09","79251","300M_2_5B","Jl. Melati No. 11","Denpasar","Bali","80111","ID","+628993443653","bus-00021@mailuji.example","ACTIVE"
"BUS-00022","CV Cemerlang Perkasa","Cemerlang Perkasa","9953282247396","ID","2021-04-05","23846","300M_2_5B","Jl. Melati No. 33","Palembang","Sumatera Selatan","30111","ID","+628996308255","bus-00022@surelsintetis.id","ACTIVE"
"BUS-00023","UD Abadi Niaga","Abadi Niaga","9937754961771","ID","2024-07-02","87860","2_5B_50B","Jl. Mawar No. 40","Surabaya","Jawa Timur","60111","ID","+628993202907","bus-00023@demo.example","ACTIVE"
"BUS-00024","PT Sinar Utama","Sinar Utama","9959600296881","ID","2022-04-26","32941","GT_50B","Jl. Cempaka No. 11","Denpasar","Bali","80111","ID","+628993944832","bus-00024@contoh.id","ACTIVE"
"BUS-00025","CV Berkah Perkasa","Berkah Perkasa","9970280232170","ID","2023-09-29","37945","2_5B_50B","Jl. Dahlia No. 132","Semarang","Jawa Tengah","50111","ID","+628992594589","bus-00025@demo.example","ACTIVE"
"BUS-00026","PT Sentosa Utama","Sentosa Utama","9977746472020","ID","2025-02-20","94221","2_5B_50B","Jl. Flamboyan No. 180","Yogyakarta","DI Yogyakarta","55111","ID","+628996382433","bus-00026@demo.example","ACTIVE"
"BUS-00027","UD Harapan Utama","Harapan Utama","9977230184044","ID","2023-07-20","18177","GT_50B","Jl. Kenanga No. 115","Palembang","Sumatera Selatan","30111","ID","+628999275811","bus-00027@demo.example","ACTIVE"
"BUS-00028","UD Sejahtera Nusantara","Sejahtera Nusantara","9976722418866","ID","2016-11-02","75385","GT_50B","Jl. Melati No. 173","Palembang","Sumatera Selatan","30111","ID","+628995816060","bus-00028@contoh.id","ACTIVE"
"BUS-00029","Koperasi Mandiri Digital","Mandiri Digital","9957398834179","ID","2013-10-29","15019","LT_300M","Jl. Dahlia No. 16","Denpasar","Bali","80111","ID","+628992188306","bus-00029@mailuji.example","ACTIVE"
"BUS-00030","CV Mandiri Niaga","Mandiri Niaga","9947055736288","ID","2014-07-23","28160","300M_2_5B","Jl. Anggrek No. 224","Semarang","Jawa Tengah","50111","ID","+628995299405","bus-00030@demo.example","ACTIVE"
"BUS-00031","UD Makmur Niaga","Makmur Niaga","9938760187919","ID","2022-08-28","34995","300M_2_5B","Jl. Cempaka No. 85","Surabaya","Jawa Timur","60111","ID","+628998378154","bus-00031@contoh.id","ACTIVE"
"BUS-00032","Koperasi Makmur Perkasa","Makmur Perkasa","9911973472661","ID","2012-11-01","99551","2_5B_50B","Jl. Flamboyan No. 192","Yogyakarta","DI Yogyakarta","55111","ID","+628999274643","bus-00032@demo.example","ACTIVE"
"BUS-00033","Koperasi Abadi Perkasa","Abadi Perkasa","9961688814083","ID","2013-03-18","67735","GT_50B","Jl. Anggrek No. 147","Jakarta Pusat","DKI Jakarta","10110","ID","+628991182037","bus-00033@demo.example","ACTIVE"
"BUS-00034","UD Sejahtera Digital","Sejahtera Digital","9924232477243","ID","2017-04-01","99577","300M_2_5B","Jl. Teratai No. 179","Surabaya","Jawa Timur","60111","ID","+628993658855","bus-00034@demo.example","ACTIVE"
"BUS-00035","Koperasi Harapan Perkasa","Harapan Perkasa","9971276516584","ID","2021-02-13","46892","LT_300M","Jl. Flamboyan No. 156","Makassar","Sulawesi Selatan","90111","ID","+628995797710","bus-00035@mailuji.example","ACTIVE"
"BUS-00036","Koperasi Sinar Utama","Sinar Utama","9981675497194","ID","2025-05-06","95936","LT_300M","Jl. Flamboyan No. 79","Denpasar","Bali","80111","ID","+628999760799","bus-00036@mailuji.example","ACTIVE"
