"source_merchant_id","source_business_id","merchant_name","mcc","declared_expected_volume_band","declared_expected_ticket_band","onboarded_date","status","settlement_source_account_id","operating_hours_declared","outlet_count"
"MER-00001","BUS-00001","Lestari Bersama - Fast Food","5814","GT_1B","LT_50K","2023-01-29","ACTIVE","ACC-0000120","09:00-21:00","6"
"MER-00002","BUS-00003","Harapan Nusantara - Travel Agencies","4722","250M_1B","GT_1M","2024-02-07","ACTIVE","ACC-0000122","09:00-21:00","9"
"MER-00003","BUS-00012","Maju Bersama - Motion Picture Theatres","7832","50M_250M","50K_250K","2023-05-06","ACTIVE","ACC-0000134","00:00-23:59","2"
"MER-00004","BUS-00004","Mandiri Niaga - Eating Places","5812","GT_1B","50K_250K","2023-06-15","ACTIVE","ACC-0000124","08:00-17:00","8"
"MER-00005","BUS-00001","Lestari Bersama - Electronics Stores","5732","LT_50M","GT_1M","2023-10-04","CLOSED","ACC-0000120","09:00-21:00","4"
"MER-00006","BUS-00007","Cemerlang Perkasa - Computers and Peripherals","5045","250M_1B","GT_1M","2024-01-16","ACTIVE","ACC-0000128","00:00-23:59","9"
"MER-00007","BUS-00003","Harapan Nusantara - Taxicabs and Limousines","4121","LT_50M","LT_50K","2025-02-06","ACTIVE","ACC-0000122","08:00-17:00","8"
"MER-00008","BUS-00002","Makmur Nusantara - Colleges and Universities","8220","LT_50M","GT_1M","2024-06-18","ACTIVE","ACC-0000121","09:00-21:00","1"
"MER-00009","BUS-00002","Makmur Nusantara - Quasi Cash","6051","LT_50M","GT_1M","2023-10-28","ACTIVE","ACC-0000121","09:00-21:00","1"
"MER-00010","BUS-00003","Harapan Nusantara - Drug Stores","5912","50M_250M","50K_250K","2025-11-10","ACTIVE","ACC-0000122","10:00-22:00","7"
"MER-00011","BUS-00010","Harapan Digital - Drug Stores","5912","50M_250M","50K_250K","2023-06-28","ACTIVE","ACC-0000131","09:00-21:00","6"
"MER-00012","BUS-00003","Harapan Nusantara - Colleges and Universities","8220","50M_250M","GT_1M","2024-11-14","ACTIVE","ACC-0000122","10:00-22:00","6"
"MER-00013","BUS-00003","Harapan Nusantara - Taxicabs and Limousines","4121","LT_50M","LT_50K","2025-03-18","ACTIVE","ACC-0000122","08:00-17:00","2"
"MER-00014","BUS-00010","Harapan Digital - Cosmetic Stores","5977","GT_1B","50K_250K","2024-03-19","ACTIVE","ACC-0000131","08:00-17:00","10"
"MER-00015","BUS-00006","Cemerlang Nusantara - Taxicabs and Limousines","4121","GT_1B","LT_50K","2025-10-18","ACTIVE","ACC-0000127","00:00-23:59","9"
